seed,dimension,var_A,p,k,M,time,lowerBound,upperBound,termination,LMOcalls,openNodes,localTighteings,globalTightenings
1,25,5.0,125,1.0,5,2340.0,0.22760866342808722,0.6931471805599452,OPTIMAL,230,2,0,0
1,25,5.0,125,1.0,5,2956.0,0.22760866342808722,0.6931471805599452,OPTIMAL,261,3,0,0
1,25,5.0,125,1.0,5,2993.0,0.23398717767205773,0.6687193048051082,OPTIMAL,266,2,0,0
1,25,5.0,125,1.0,5,3476.0,0.23398717767205773,0.6687193048051082,OPTIMAL,282,3,0,0
1,25,5.0,125,1.0,5,3497.0,0.23529982542515643,0.6687193048051082,OPTIMAL,287,2,0,0
1,25,5.0,125,1.0,5,4091.0,0.23529982542515643,0.6687193048051082,OPTIMAL,307,3,0,0
1,25,5.0,125,1.0,5,4109.0,0.23730092751317888,0.6687193048051082,OPTIMAL,311,2,0,0
1,25,5.0,125,1.0,5,4661.0,0.23730092751317888,0.6687193048051082,OPTIMAL,332,3,0,0
1,25,5.0,125,1.0,5,4678.0,0.2383324263669606,0.6687193048051082,OPTIMAL,336,2,0,0
1,25,5.0,125,1.0,5,5273.0,0.2383324263669606,0.6687193048051082,OPTIMAL,357,3,0,0
1,25,5.0,125,1.0,5,5291.0,0.24106476186230155,0.6687193048051082,OPTIMAL,361,2,0,0
1,25,5.0,125,1.0,5,5922.0,0.24106476186230155,0.6687193048051082,OPTIMAL,385,3,0,0
1,25,5.0,125,1.0,5,5940.0,0.2426913631490466,0.6687193048051082,OPTIMAL,389,2,0,0
1,25,5.0,125,1.0,5,6599.0,0.2426913631490466,0.6687193048051082,OPTIMAL,413,3,0,0
1,25,5.0,125,1.0,5,6619.0,0.24457224433872712,0.6687193048051082,OPTIMAL,418,2,0,0
1,25,5.0,125,1.0,5,7182.0,0.24457224433872712,0.6687193048051082,OPTIMAL,435,3,0,0
1,25,5.0,125,1.0,5,7204.0,0.24644498054561384,0.6687193048051082,OPTIMAL,440,2,0,0
1,25,5.0,125,1.0,5,7843.0,0.24644498054561384,0.6687193048051082,OPTIMAL,463,3,0,0
1,25,5.0,125,1.0,5,7860.0,0.24673084806708548,0.6687193048051082,OPTIMAL,467,2,0,0
1,25,5.0,125,1.0,5,8517.0,0.24673084806708548,0.6687193048051082,OPTIMAL,489,3,0,0
1,25,5.0,125,1.0,5,8535.0,0.24887468581958394,0.6687193048051082,OPTIMAL,494,2,0,0
1,25,5.0,125,1.0,5,9322.0,0.24887468581958394,0.6687193048051082,OPTIMAL,521,3,0,0
1,25,5.0,125,1.0,5,9347.0,0.2514163505817336,0.6599240418167368,OPTIMAL,527,2,0,0
1,25,5.0,125,1.0,5,10001.0,0.2514163505817336,0.6599240418167368,OPTIMAL,547,3,0,0
1,25,5.0,125,1.0,5,10022.0,0.25527309694591827,0.6599240418167368,OPTIMAL,552,2,0,0
1,25,5.0,125,1.0,5,10737.0,0.25527309694591827,0.6599240418167368,OPTIMAL,572,3,0,0
1,25,5.0,125,1.0,5,10755.0,0.2553950581112243,0.6599240418167368,OPTIMAL,576,2,0,0
1,25,5.0,125,1.0,5,11426.0,0.2553950581112243,0.6599240418167368,OPTIMAL,600,3,0,0
1,25,5.0,125,1.0,5,11444.0,0.25554683784519455,0.6599240418167368,OPTIMAL,604,2,0,0
