seed,dimension,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings,list_active_set_size_cb,list_discarded_set_size_cb
8,30,6484.0,3.9011118436306242,3.985746549412991,OPTIMAL,23,137,137,5,1
8,30,7694.0,3.9011118436306242,3.985746549412991,OPTIMAL,31,2,0,3,1
8,30,7847.0,3.915174426934666,3.985746549412991,OPTIMAL,43,1,0,7,2
8,30,7954.0,3.915174426934666,3.985746549412991,OPTIMAL,53,0,0,6,1
8,30,8109.0,3.924522729288931,3.985746549412991,OPTIMAL,65,0,0,8,0
8,30,8220.0,3.924522729288931,3.985746549412991,OPTIMAL,73,1,0,3,1
8,30,8356.0,3.924876434124754,3.985746549412991,OPTIMAL,84,0,0,6,0
8,30,8460.0,3.924876434124754,3.985746549412991,OPTIMAL,95,0,0,3,3
8,30,8579.0,3.931930940987673,3.985746549412991,OPTIMAL,107,0,0,3,0
8,30,8677.0,3.931930940987673,3.985746549412991,OPTIMAL,115,0,0,4,0
8,30,8775.0,3.937273432800752,3.985746549412991,OPTIMAL,123,0,0,5,0
8,30,8865.0,3.937273432800752,3.985746549412991,OPTIMAL,132,0,0,2,0
8,30,8982.0,3.944310505909651,3.985746549412991,OPTIMAL,146,0,0,5,2
8,30,9060.0,3.944310505909651,3.985746549412991,OPTIMAL,151,0,0,3,0
8,30,9153.0,3.9454161058558874,3.985746549412991,OPTIMAL,158,0,0,3,0
8,30,9209.0,3.9454161058558874,3.985746549412991,OPTIMAL,162,0,0,3,0
8,30,9288.0,3.9460117226149505,3.985746549412991,OPTIMAL,169,1,0,3,0
8,30,9406.0,3.9460117226149505,3.985746549412991,OPTIMAL,179,0,0,4,2
8,30,9476.0,3.94932731068197,3.985746549412991,OPTIMAL,193,0,0,8,0
