seed,dimension,p,k,time,lowerBound,upperBound,termination,LMOcalls,openNodes
1,30,150,6.0,756.0,3.2199366910700515,3.7170623357081123,Time limit reached,43,2
1,30,150,6.0,1584.0,3.2199366910700515,3.7170623357081123,Time limit reached,75,3
1,30,150,6.0,2148.0,3.257813996924407,3.7170623357081123,Time limit reached,107,4
1,30,150,6.0,2520.0,3.257813996924407,3.7170623357081123,Time limit reached,136,5
1,30,150,6.0,2882.0,3.264650644057108,3.7170623357081123,Time limit reached,159,6
1,30,150,6.0,3673.0,3.264650644057108,3.7170623357081123,Time limit reached,185,7
1,30,150,6.0,4787.0,3.298106768693126,3.7170623357081123,Time limit reached,222,8
1,30,150,6.0,5048.0,3.298106768693126,3.7170623357081123,Time limit reached,246,9
1,30,150,6.0,5604.0,3.298183161018611,3.7170623357081123,Time limit reached,289,10
1,30,150,6.0,6277.0,3.298183161018611,3.7170623357081123,Time limit reached,315,11
1,30,150,6.0,6718.0,3.2983098918327656,3.7170623357081123,Time limit reached,345,12
1,30,150,6.0,7085.0,3.2983098918327656,3.7170623357081123,Time limit reached,373,13
1,30,150,6.0,7566.0,3.309535415870975,3.680463057455647,Time limit reached,411,14
1,30,150,6.0,7968.0,3.309535415870975,3.680463057455647,Time limit reached,438,15
1,30,150,6.0,8316.0,3.3229108340829154,3.680463057455647,Time limit reached,466,16
1,30,150,6.0,8665.0,3.3229108340829154,3.680463057455647,Time limit reached,492,17
1,30,150,6.0,9331.0,3.323967281567032,3.680463057455647,Time limit reached,529,18
1,30,150,6.0,9826.0,3.323967281567032,3.680463057455647,Time limit reached,560,19
1,30,150,6.0,10314.0,3.3267375208216765,3.680463057455647,Time limit reached,596,20
1,30,150,6.0,10920.0,3.3267375208216765,3.680463057455647,Time limit reached,628,21
1,30,150,6.0,11613.0,3.3347065491942405,3.680463057455647,Time limit reached,664,22
1,30,150,6.0,12043.0,3.3347065491942405,3.680463057455647,Time limit reached,693,23
1,30,150,6.0,12585.0,3.345710414872972,3.680463057455647,Time limit reached,731,24
1,30,150,6.0,13376.0,3.345710414872972,3.680463057455647,Time limit reached,766,25
1,30,150,6.0,14341.0,3.3476763513262555,3.680463057455647,Time limit reached,803,26
1,30,150,6.0,15084.0,3.3476763513262555,3.680463057455647,Time limit reached,829,27
1,30,150,6.0,15758.0,3.348664871249994,3.680463057455647,Time limit reached,866,28
1,30,150,6.0,16064.0,3.348664871249994,3.680463057455647,Time limit reached,891,29
1,30,150,6.0,16523.0,3.3501173661328894,3.680463057455647,Time limit reached,932,30
1,30,150,6.0,17084.0,3.3501173661328894,3.680463057455647,Time limit reached,970,31
1,30,150,6.0,17502.0,3.3555683230240514,3.680463057455647,Time limit reached,1004,32
1,30,150,6.0,17794.0,3.3555683230240514,3.680463057455647,Time limit reached,1028,33
1,30,150,6.0,18352.0,3.3607527662007115,3.666072357479498,Time limit reached,1059,34
1,30,150,6.0,18917.0,3.3607527662007115,3.666072357479498,Time limit reached,1101,35
1,30,150,6.0,19716.0,3.364290738819306,3.666072357479498,Time limit reached,1138,36
1,30,150,6.0,20608.0,3.364290738819306,3.666072357479498,Time limit reached,1168,37
1,30,150,6.0,21169.0,3.367179798694882,3.666072357479498,Time limit reached,1205,38
