seed,num_v,time,solution,dual_gap,rel_dual_gap,number_nodes,termination,ncalls
1,4,0.119,-8728.550761759516,0.0,0.0,1,Optimal (tree empty),5
2,4,0.163,-10639.628112737708,0.0,0.0,1,Optimal (tree empty),7
3,4,0.101,-8733.371498838405,0.0,0.0,1,Optimal (tree empty),5
1,5,0.109,-12164.174506409388,0.0,0.0,1,Optimal (tree empty),5
2,5,0.143,12342.863873538061,0.0,0.0,1,Optimal (tree empty),3
3,5,0.1,-25842.90294910671,0.0,0.0,1,Optimal (tree empty),5
1,6,0.11,-19055.5550940589,0.0,0.0,1,Optimal (tree empty),5
2,6,0.126,-21660.201383877356,0.0,0.0,1,Optimal (tree empty),5
3,6,0.148,12605.054860879736,0.0,0.0,1,Optimal (tree empty),3
1,7,0.109,-18525.8088696645,0.0,0.0,1,Optimal (tree empty),5
2,7,0.124,-5114.645054518984,0.0,0.0,1,Optimal (tree empty),5
3,7,0.121,-40220.7475551962,0.0,0.0,1,Optimal (tree empty),5
1,8,0.111,-10736.706325443743,0.0,0.0,1,Optimal (tree empty),5
2,8,0.126,-12843.37879915211,0.0,0.0,1,Optimal (tree empty),5
3,8,0.145,24729.915103547384,0.0,0.0,1,Optimal (tree empty),3
