seed,n0,m0,M,solution,dual_gap,rel_dual_gap,ncalls,termination,time
1,2,15,20.0,3.3703471620782786,5.5996004721947656e-8,1.6614313885028297e-8,62,OPTIMAL,4.232
2,2,15,20.0,2.1185418107851888,7.042956884362184e-8,3.3244362148748355e-8,15,OPTIMAL,4.123
3,2,15,20.0,2.9781211642550875,7.740211849238676e-8,2.5990252321868782e-8,55,OPTIMAL,4.229
4,2,15,20.0,2.004918106446408,4.783715645828579e-8,2.385990602103156e-8,38,OPTIMAL,4.213
5,2,15,20.0,0.4872728372600649,5.7724846458384604e-8,1.1846515726457166e-7,42,OPTIMAL,4.229
6,2,15,20.0,0.06023019318797068,9.992629945720921e-8,1.6590759543253034e-6,44,OPTIMAL,4.238
7,2,15,20.0,3.4917781560540333,8.564693754209429e-8,2.4528173273082322e-8,64,OPTIMAL,4.227
8,2,15,20.0,0.4427752877117986,4.108690276893867e-8,9.279403734090426e-8,40,OPTIMAL,4.178
9,2,15,20.0,0.4517898929545432,3.89891842145218e-8,8.629937983846645e-8,16,OPTIMAL,4.149
10,2,15,20.0,2.5368572106681615,7.242485144942634e-8,2.8549046123889406e-8,42,OPTIMAL,4.249
1,2,16,20.0,2.7928948734415444,5.584536033609311e-8,1.9995511461530312e-8,61,OPTIMAL,4.274
2,2,16,20.0,2.9760070981254225,7.213589237053952e-8,2.4239153920194173e-8,15,OPTIMAL,4.119
3,2,16,20.0,2.614162952782346,3.41189361208194e-8,1.3051572217336785e-8,37,OPTIMAL,4.112
4,2,16,20.0,1.8597915468796633,5.8004884229134746e-8,3.11889179922149e-8,36,OPTIMAL,4.35
5,2,16,20.0,0.9308823765777834,4.969351330430527e-8,5.338323853524325e-8,38,OPTIMAL,4.398
6,2,16,20.0,0.2903317453268258,3.6739147057929245e-8,1.2654197241027224e-7,41,OPTIMAL,4.377
7,2,16,20.0,3.5649391289865155,3.69964086033292e-8,1.0377851528082116e-8,61,OPTIMAL,4.387
8,2,16,20.0,0.6965811464093504,8.797526573900427e-8,1.2629580531054463e-7,48,OPTIMAL,4.314
9,2,16,20.0,0.30240000137385065,4.864608116328384e-8,1.6086669566075186e-7,40,OPTIMAL,4.332
10,2,16,20.0,1.2374357547542743,4.863368063823259e-8,3.930198587100817e-8,18,OPTIMAL,4.209
1,2,17,20.0,2.850453968052113,6.682882069952711e-8,2.3444975086545708e-8,61,OPTIMAL,4.38
2,2,17,20.0,3.2896187047479772,6.360634019486611e-8,1.9335475364643488e-8,16,OPTIMAL,4.155
3,2,17,20.0,3.9267258080778857,5.5694498790614944e-8,1.4183445013141116e-8,42,OPTIMAL,4.26
4,2,17,20.0,0.9491274334055988,6.599332613710374e-8,6.953052709567292e-8,49,OPTIMAL,4.289
5,2,17,20.0,1.5152772581707277,4.480809678852893e-8,2.9570890655111837e-8,36,OPTIMAL,4.338
6,2,17,20.0,1.2136511779515222,4.169408684973064e-8,3.435426013632194e-8,20,OPTIMAL,4.218
7,2,17,20.0,3.14258502601508,6.164797428098723e-8,1.961696341705838e-8,64,OPTIMAL,4.331
8,2,17,20.0,0.28816835828575804,7.516267674922972e-8,2.6082910976405594e-7,39,OPTIMAL,4.333
9,2,17,20.0,0.6231478446384661,6.941911667723843e-8,1.1140072939007565e-7,16,OPTIMAL,4.238
10,2,17,20.0,1.3680759300316858,8.851733612758039e-8,6.470206800055678e-8,59,OPTIMAL,4.342
1,2,18,20.0,3.0532239454771357,1.328985321791265e-8,4.352727973146734e-9,54,OPTIMAL,4.303
2,2,18,20.0,3.2249689175887406,8.787726812897745e-8,2.724902867877937e-8,16,OPTIMAL,4.199
3,2,18,20.0,3.341321590695351,3.93831678380252e-8,1.1786703923349995e-8,61,OPTIMAL,4.33
4,2,18,20.0,1.4352713939575419,9.017705693281641e-8,6.28292760367265e-8,38,OPTIMAL,4.349
5,2,18,20.0,0.9996270147139673,8.4043010328827e-8,8.407437589983366e-8,63,OPTIMAL,4.345
6,2,18,20.0,0.0995988959833829,5.489334209407559e-8,5.511443857509357e-7,37,OPTIMAL,4.309
7,2,18,20.0,4.155671012596181,4.337326497960703e-8,1.0437126832425224e-8,59,OPTIMAL,4.336
8,2,18,20.0,1.7918318160727857,8.244646765298569e-8,4.6012393968562056e-8,41,OPTIMAL,4.272
9,2,18,20.0,0.3516914944738504,2.601112303324271e-8,7.396006262801737e-8,67,OPTIMAL,4.369
10,2,18,20.0,1.594802807237277,2.3901405077353388e-8,1.4987060047235732e-8,84,OPTIMAL,4.336
1,2,19,20.0,3.0758039096430787,8.391367289917184e-8,2.7281867652685e-8,64,OPTIMAL,4.312
2,2,19,20.0,2.8257415463844584,7.264427148712116e-8,2.5708038814664913e-8,16,OPTIMAL,4.161
3,2,19,20.0,4.25751543319662,5.4112044622911526e-8,1.2709770794661549e-8,66,OPTIMAL,4.344
4,2,19,20.0,1.420694644575787,2.570762358544698e-8,1.809510871937256e-8,16,OPTIMAL,4.262
