seed,num_v,solution,dual_gap,rel_dual_gap,number_nodes,ncalls,termination,time
1,4,-501.9761863719564,5.859663842029818,0.011673190882580833,3,9,Time limit reached,771.625
1,5,-496.45836247864014,9.101773912334465e-8,1.833340839882834e-10,1,3,Optimal (tree empty),3152.508
1,6,-485.5407587930873,7.267145052101739,0.014967116396501381,3,11,Time limit reached,764.669
1,7,-475.9142698336223,9.979426696304358,0.020968958757620622,3,10,Time limit reached,694.256
1,8,-470.93102208314434,15.725960448776505,0.033393341511487935,3,10,Time limit reached,1153.604
2,4,-506.0168111748488,6.341313095394582,0.012531822965864683,3,10,Time limit reached,882.337
2,5,-543.7924584375733,6.2211331566110175,0.011440271118296865,3,9,Time limit reached,1685.568
2,6,-476.5735179166229,8.312831375230076,0.017442915022996337,3,11,Time limit reached,791.433
2,7,-466.2673977470281,24.723337506685482,0.05302394640102856,3,6,Time limit reached,733.932
2,8,-448.39039787795275,15.411748344243392,0.03437127203700359,3,10,Time limit reached,892.23
3,4,-482.588475353986,3.843005102165023,0.007963317191414736,3,13,Time limit reached,689.078
3,5,-492.7137659643786,6.180487726321871,0.012543769127750935,3,8,Time limit reached,743.852
3,6,-508.86018332575543,8.986621574356036,0.01766029622444069,3,9,Time limit reached,803.974
3,7,-457.58825120820734,14.056396991896634,0.03071843945901668,3,10,Time limit reached,845.413
3,8,-433.4014223674111,15.132249095581585,0.03491508867904313,3,8,Time limit reached,971.586
