seed,dimension,var_A,M,solution,dual_gap,rel_dual_gap,ncalls,termination,time
1,5,1,0.1,0.561017178215877,8.914683369276588e-8,1.5890217148411097e-7,19,OPTIMAL,13.05
1,5,5,0.1,0.17013998171893607,6.895497120518179e-8,4.0528392242003223e-7,19,OPTIMAL,12.892
1,5,1,1.0,0.5610171782158274,5.563267324593113e-8,9.916394884665081e-8,29,OPTIMAL,13.375
1,5,5,1.0,0.1701399817189199,5.6461152725395536e-8,3.3185128440520457e-7,34,OPTIMAL,12.968
2,5,1,0.1,0.6388970613934949,7.932099965746175e-8,1.2415303543954015e-7,17,OPTIMAL,12.337
2,5,5,0.1,0.2972560059455309,8.860585543057908e-8,2.98079366168946e-7,20,OPTIMAL,13.721
2,5,1,1.0,0.6388970613934827,8.029048914615089e-8,1.2567047821628012e-7,32,OPTIMAL,13.699
2,5,5,1.0,0.29725600594551926,5.0743076240866714e-8,1.7070499464445946e-7,36,OPTIMAL,13.717
3,5,1,0.1,0.6501357879783466,5.921753143400821e-8,9.108487476434991e-8,17,OPTIMAL,13.583
3,5,5,0.1,0.337609345163554,5.2800383842921406e-8,1.5639493650584543e-7,21,OPTIMAL,12.961
3,5,1,1.0,0.6501357879783405,3.1988572013474936e-8,4.9202911420823864e-8,30,OPTIMAL,14.305
3,5,5,1.0,0.33760934516354935,7.785385558456426e-8,2.3060343160884802e-7,35,OPTIMAL,14.513
1,10,1,0.1,0.545876463495555,6.288653797703603e-8,1.1520288824883346e-7,19,OPTIMAL,9.252
1,10,5,0.1,0.16407622750105805,9.51732796738991e-8,5.800556017725322e-7,25,OPTIMAL,9.166
1,10,1,1.0,0.5458764634955289,5.922104096001135e-8,1.0848800295502919e-7,41,OPTIMAL,9.17
1,10,5,1.0,0.16407622750102263,7.483655495299502e-8,4.5610866501748255e-7,52,OPTIMAL,9.325
2,10,1,0.1,0.5887953632346097,7.099091148266012e-8,1.2056976748597624e-7,22,OPTIMAL,9.077
2,10,5,0.1,0.2013797159683994,4.669880032670548e-8,2.3189431433709918e-7,24,OPTIMAL,9.079
2,10,1,1.0,0.5887953632345929,5.481915565930251e-8,9.310392741890475e-8,39,OPTIMAL,9.488
2,10,5,1.0,0.2013797159683917,4.603597605901122e-8,2.286028975738276e-7,48,OPTIMAL,9.258
3,10,1,0.1,0.6513300399641601,7.060790874202638e-8,1.084057421951771e-7,23,OPTIMAL,9.01
3,10,5,0.1,0.34839901635783044,9.250931409798824e-8,2.6552698003800735e-7,29,OPTIMAL,9.073
3,10,1,1.0,0.6513300399641441,9.090588415361367e-8,1.3956963638022785e-7,41,OPTIMAL,9.18
3,10,5,1.0,0.34839901635781945,3.732966330494136e-8,1.0714630510419647e-7,54,OPTIMAL,9.427
1,15,1,0.1,0.5959987750261826,9.25972821752552e-8,1.5536491087176452e-7,24,OPTIMAL,9.228
1,15,5,0.1,0.2176120661045836,5.319039014795024e-8,2.444276372229677e-7,29,OPTIMAL,9.528
1,15,1,1.0,0.5959987750261646,5.8185693152523754e-8,9.762721212048864e-8,47,OPTIMAL,9.536
1,15,5,1.0,0.2176120661045785,7.096125337335835e-8,3.260907254980193e-7,59,OPTIMAL,9.687
2,15,1,0.1,0.6145464161921876,4.730033853483917e-8,7.696789197555786e-8,24,OPTIMAL,9.289
2,15,5,0.1,0.24076834257868868,5.632090244178656e-8,2.339215987170536e-7,27,OPTIMAL,9.4
2,15,1,1.0,0.614546416192183,7.80614236584043e-8,1.2702284403132328e-7,49,OPTIMAL,9.604
2,15,5,1.0,0.24076834257868474,4.5821168082049724e-8,1.9031229899922117e-7,56,OPTIMAL,9.67
3,15,1,0.1,0.29607562128489934,8.039918347746422e-8,2.715495621048212e-7,15,OPTIMAL,9.082
3,15,5,0.1,0.03355646171879262,5.982028009748896e-8,1.7826786160926468e-6,18,OPTIMAL,9.652
3,15,1,1.0,0.2350250907553182,9.993773908423265e-8,4.2522175508476873e-7,40,OPTIMAL,9.506
3,15,5,1.0,0.03319014250626026,6.856442114760997e-8,2.065811039401701e-6,45,OPTIMAL,9.734
1,20,1,0.1,0.5403238609703606,5.963286531240897e-8,1.1036505363042722e-7,28,OPTIMAL,9.53
1,20,5,0.1,0.15564498776596,5.32555541332691e-8,3.4216053545712163e-7,31,OPTIMAL,9.837
1,20,1,1.0,0.5403238609703382,4.762312499906329e-8,8.813811981383202e-8,57,OPTIMAL,9.91
1,20,5,1.0,0.15564498776595007,4.65856189457714e-8,2.9930699059339834e-7,60,OPTIMAL,9.929
2,20,1,0.1,0.6207281102912594,9.152031210657441e-8,1.4744027873558258e-7,28,OPTIMAL,9.484
2,20,5,0.1,0.2620420021212996,5.3638824826229836e-8,2.0469556548812328e-7,45,OPTIMAL,9.659
2,20,1,1.0,0.6207281102912409,4.9256609235825977e-8,7.935296038288472e-8,56,OPTIMAL,9.861
2,20,5,1.0,0.2620420021212945,6.012281178469081e-8,2.2943965124880248e-7,71,OPTIMAL,10.021
3,20,1,0.1,0.6055117518916326,7.871789786673133e-8,1.300022796491083e-7,30,OPTIMAL,9.579
3,20,5,0.1,0.2301483109358656,5.338919789599217e-8,2.3197741518927778e-7,32,OPTIMAL,9.931
3,20,1,1.0,0.6055117518915961,3.448165164510186e-8,5.6946299557332994e-8,53,OPTIMAL,9.888
3,20,5,1.0,0.23014831093585741,5.9584064848738905e-8,2.5889427574951167e-7,77,OPTIMAL,10.318
